Type, List Size, Sum, Time
Serial, 8, 273, 0
Parallel, 8, 273, 1
Serial, 8, 486, 0
Parallel, 8, 486, 0
Serial, 8, 491, 0
Parallel, 8, 491, 0
Serial, 8, 459, 0
Parallel, 8, 459, 0
Serial, 8, 521, 0
Parallel, 8, 521, 0
Serial, 8, 402, 0
Parallel, 8, 402, 0
Serial, 8, 331, 0
Parallel, 8, 331, 0
Serial, 8, 391, 0
Parallel, 8, 391, 0
Serial, 8, 302, 0
Parallel, 8, 302, 0
Serial, 8, 439, 0
Parallel, 8, 439, 1
Serial, 16, 722, 0
Parallel, 16, 722, 0
Serial, 16, 650, 0
Parallel, 16, 650, 0
Serial, 16, 972, 1
Parallel, 16, 972, 1
Serial, 16, 827, 1
Parallel, 16, 827, 1
Serial, 16, 879, 0
Parallel, 16, 879, 0
Serial, 16, 762, 0
Parallel, 16, 762, 0
Serial, 16, 690, 0
Parallel, 16, 690, 0
Serial, 16, 872, 0
Parallel, 16, 872, 0
Serial, 16, 750, 0
Parallel, 16, 750, 0
Serial, 16, 726, 1
Parallel, 16, 726, 1
Serial, 32, 1719, 1
Parallel, 32, 1719, 0
Serial, 32, 1583, 0
Parallel, 32, 1583, 1
Serial, 32, 1608, 1
Parallel, 32, 1608, 0
Serial, 32, 1639, 0
Parallel, 32, 1639, 0
Serial, 32, 1549, 1
Parallel, 32, 1549, 0
Serial, 32, 1488, 0
Parallel, 32, 1488, 0
Serial, 32, 1770, 1
Parallel, 32, 1770, 1
Serial, 32, 1332, 0
Parallel, 32, 1332, 0
Serial, 32, 1861, 1
Parallel, 32, 1861, 1
Serial, 32, 1519, 0
Parallel, 32, 1519, 0
Serial, 64, 3192, 1
Parallel, 64, 3192, 0
Serial, 64, 3318, 1
Parallel, 64, 3318, 0
Serial, 64, 2767, 1
Parallel, 64, 2767, 0
Serial, 64, 3619, 1
Parallel, 64, 3619, 0
Serial, 64, 3258, 0
Parallel, 64, 3258, 0
Serial, 64, 2362, 0
Parallel, 64, 2362, 0
Serial, 64, 3057, 0
Parallel, 64, 3057, 0
Serial, 64, 3302, 0
Parallel, 64, 3302, 0
Serial, 64, 3035, 0
Parallel, 64, 3035, 0
Serial, 64, 3284, 0
Parallel, 64, 3284, 0
Serial, 128, 5894, 1
Parallel, 128, 5894, 1
Serial, 128, 5975, 0
Parallel, 128, 5975, 1
Serial, 128, 6746, 0
Parallel, 128, 6746, 1
Serial, 128, 6355, 1
Parallel, 128, 6355, 1
Serial, 128, 6585, 1
Parallel, 128, 6585, 0
Serial, 128, 6066, 1
Parallel, 128, 6066, 0
Serial, 128, 5884, 1
Parallel, 128, 5884, 1
Serial, 128, 6542, 1
Parallel, 128, 6542, 1
Serial, 128, 6484, 0
Parallel, 128, 6484, 1
Serial, 128, 5569, 0
Parallel, 128, 5569, 1
Serial, 256, 11525, 1
Parallel, 256, 11525, 2
Serial, 256, 12848, 1
Parallel, 256, 12848, 1
Serial, 256, 11483, 1
Parallel, 256, 11483, 1
Serial, 256, 12016, 1
Parallel, 256, 12016, 1
Serial, 256, 12953, 1
Parallel, 256, 12953, 1
Serial, 256, 12721, 1
Parallel, 256, 12721, 2
Serial, 256, 13362, 1
Parallel, 256, 13362, 1
Serial, 256, 13310, 1
Parallel, 256, 13310, 1
Serial, 256, 13091, 1
Parallel, 256, 13091, 1
Serial, 256, 13401, 1
Parallel, 256, 13401, 1
Serial, 512, 24944, 1
Parallel, 512, 24944, 2
Serial, 512, 25432, 1
Parallel, 512, 25432, 2
Serial, 512, 24233, 2
Parallel, 512, 24233, 2
Serial, 512, 25296, 2
Parallel, 512, 25296, 2
Serial, 512, 26370, 2
Parallel, 512, 26370, 2
Serial, 512, 26240, 2
Parallel, 512, 26240, 2
Serial, 512, 25158, 2
Parallel, 512, 25158, 2
Serial, 512, 24490, 2
Parallel, 512, 24490, 2
Serial, 512, 25578, 2
Parallel, 512, 25578, 1
Serial, 512, 24650, 2
Parallel, 512, 24650, 2
Serial, 1024, 51822, 3
Parallel, 1024, 51822, 4
Serial, 1024, 50727, 4
Parallel, 1024, 50727, 3
Serial, 1024, 50746, 3
Parallel, 1024, 50746, 4
Serial, 1024, 49865, 4
Parallel, 1024, 49865, 3
Serial, 1024, 50869, 4
Parallel, 1024, 50869, 3
Serial, 1024, 49596, 4
Parallel, 1024, 49596, 3
Serial, 1024, 50011, 4
Parallel, 1024, 50011, 3
Serial, 1024, 50998, 4
Parallel, 1024, 50998, 25
Serial, 1024, 51878, 3
Parallel, 1024, 51878, 4
Serial, 1024, 50085, 3
Parallel, 1024, 50085, 4
Serial, 2048, 102447, 7
Parallel, 2048, 102447, 7
Serial, 2048, 100550, 15
Parallel, 2048, 100550, 6
Serial, 2048, 100991, 7
Parallel, 2048, 100991, 7
Serial, 2048, 102168, 7
Parallel, 2048, 102168, 7
Serial, 2048, 104358, 7
Parallel, 2048, 104358, 7
Serial, 2048, 101042, 7
Parallel, 2048, 101042, 7
Serial, 2048, 100372, 6
Parallel, 2048, 100372, 7
Serial, 2048, 104149, 6
Parallel, 2048, 104149, 7
Serial, 2048, 103451, 6
Parallel, 2048, 103451, 7
Serial, 2048, 99514, 6
Parallel, 2048, 99514, 7
Serial, 4096, 204598, 12
Parallel, 4096, 204598, 13
Serial, 4096, 201093, 13
Parallel, 4096, 201093, 13
Serial, 4096, 202230, 12
Parallel, 4096, 202230, 13
Serial, 4096, 203986, 12
Parallel, 4096, 203986, 13
Serial, 4096, 202377, 13
Parallel, 4096, 202377, 13
Serial, 4096, 202266, 12
Parallel, 4096, 202266, 13
Serial, 4096, 203887, 12
Parallel, 4096, 203887, 21
Serial, 4096, 204010, 12
Parallel, 4096, 204010, 13
Serial, 4096, 204268, 12
Parallel, 4096, 204268, 14
Serial, 4096, 201716, 13
Parallel, 4096, 201716, 13
